fiindex,fi_opcode,crash,benign,SDC
3419,load,0.03333333333333333,0.7,0.2666666666666667
3420,getelementptr,0.6666666666666666,0.1,0.2333333333333334
3421,load,0.0,0.7666666666666667,0.23333333333333328
3422,getelementptr,0.8,0.13333333333333333,0.06666666666666665
3423,load,0.03333333333333333,0.7,0.2666666666666667
3424,getelementptr,0.7,0.13333333333333333,0.16666666666666674
3425,load,0.03333333333333333,0.6666666666666666,0.30000000000000004
3426,getelementptr,0.9666666666666667,0.0,0.033333333333333326
3427,load,0.03333333333333333,0.6,0.3666666666666667
3428,getelementptr,0.8,0.06666666666666667,0.1333333333333333
3429,load,0.16666666666666666,0.6333333333333333,0.20000000000000004
3430,getelementptr,0.9666666666666667,0.03333333333333333,0.0
3431,load,0.13333333333333333,0.5,0.3666666666666667
3432,call,0.06666666666666667,0.6333333333333333,0.30000000000000004
402,phi,0.9,0.03333333333333333,0.06666666666666665
403,getelementptr,0.7333333333333333,0.06666666666666667,0.20000000000000007
404,load,0.03333333333333333,0.6333333333333333,0.33333333333333337
405,fneg,0.06666666666666667,0.7,0.2333333333333334
406,getelementptr,0.6333333333333333,0.3,0.06666666666666665
407,load,0.03333333333333333,0.9666666666666667,-6.938893903907228e-18
408,fsub,0.1,0.7,0.20000000000000004
409,getelementptr,0.7,0.06666666666666667,0.2333333333333334
411,getelementptr,0.8,0.03333333333333333,0.16666666666666663
413,getelementptr,0.8333333333333334,0.0,0.16666666666666663
415,add,0.9333333333333333,0.03333333333333333,0.033333333333333326
416,icmp,0.0,0.0,1.0
744,getelementptr,0.6333333333333333,0.1,0.2666666666666667
745,getelementptr,0.8,0.13333333333333333,0.06666666666666665
746,getelementptr,0.7333333333333333,0.13333333333333333,0.13333333333333341
747,getelementptr,0.8,0.06666666666666667,0.1333333333333333
748,getelementptr,0.7666666666666667,0.1,0.1333333333333333
749,getelementptr,0.7,0.1,0.20000000000000007
750,getelementptr,0.8,0.03333333333333333,0.16666666666666663
751,getelementptr,0.8,0.1,0.09999999999999998
752,getelementptr,0.8333333333333334,0.1,0.06666666666666665
753,load,0.0,0.8,0.19999999999999996
754,load,0.0,0.6666666666666666,0.33333333333333337
755,load,0.03333333333333333,0.7333333333333333,0.2333333333333334
756,getelementptr,0.7,0.2,0.10000000000000009
757,load,0.0,0.7333333333333333,0.2666666666666667
758,getelementptr,0.8,0.13333333333333333,0.06666666666666665
759,load,0.0,0.7333333333333333,0.2666666666666667
760,getelementptr,0.7333333333333333,0.16666666666666666,0.10000000000000009
761,load,0.0,0.7333333333333333,0.2666666666666667
762,getelementptr,0.8333333333333334,0.03333333333333333,0.1333333333333333
763,load,0.0,0.9,0.09999999999999998
764,getelementptr,0.7333333333333333,0.1,0.16666666666666674
765,load,0.0,0.8333333333333334,0.16666666666666663
766,getelementptr,0.5333333333333333,0.13333333333333333,0.33333333333333337
767,load,0.0,0.7333333333333333,0.2666666666666667
768,getelementptr,0.6666666666666666,0.1,0.2333333333333334
